LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.101009,42.0671929,,,,,,,,,80175cb7820aa6d1
-71.1013596,42.0673742,,,,,,,,,5637b0e66220b2fb
-71.1010159,42.0674078,,,,,,,,,82a0c09f2f7302e6
-71.1013789,42.0675668,,,,,,,,,3e79ffb2f325a3a3
-71.1010476,42.0677291,,,,,,,,,0879e4d443ea318d
-71.1034978,42.0748556,,,,,,,,,bd937f7fcb607114
-71.1042637,42.0749865,,,,,,,,,da2393ee9c6b7a91
-71.1039744,42.0744024,,,,,,,,,8fc52e395e4691b1
-71.1002626,42.0597158,,,,,,,,,0598644ce7900368
-71.0992939,42.0581833,,,,,,,,,4d16cc2a2d358eb5
-71.1002191,42.0610395,,,,,,,,,31cd576cf460cceb
-71.1006153,42.0609015,,,,,,,,,1cb3bb2e2ed82453
-71.1000834,42.060766,,,,,,,,,2c4346e6df924721
-71.1004653,42.0603631,,,,,,,,,558257b94b568721
-71.100326,42.0599437,,,,,,,,,8fc453413a776eea
-71.0997549,42.0597606,,,,,,,,,bcb1a24d80815583
-71.1001003,42.0591376,,,,,,,,,e7b3cefa36d49007
-71.1065751,42.0718763,,,,,,,,,eee5449c0ced4773
-71.1071893,42.0719535,,,,,,,,,1b57b3187c8e82f6
-71.1075271,42.0720506,,,,,,,,,0f6f54ad0f8cd483
-71.1079735,42.0720708,,,,,,,,,a68f881e82726cd2
-71.108143,42.0722491,,,,,,,,,5ff6fd82f9284d76
-71.1085423,42.0718596,,,,,,,,,99ec3e85641ca4af
-71.1084397,42.0721517,,,,,,,,,4faf828605f8d3f8
-71.1087453,42.0719087,,,,,,,,,f6e7815b9349a008
-71.1086521,42.0722037,,,,,,,,,e851cbbb1bba5ef3
-71.1008765,42.0580403,,,,,,,,,52dc73a5c80b526a
-71.1029324,42.0722641,,,,,,,,,a9ec87a6686e9bf3
-71.1026306,42.0723752,,,,,,,,,a2c78430dcdb8140
-71.1063884,42.074044,,,,,,,,,a0e5bde8684d822d
-71.1062814,42.0743625,,,,,,,,,92a147e6a6a3d6eb
-71.1061234,42.0740481,,,,,,,,,e9673e85ed3ca4f2
-71.1060403,42.0743372,,,,,,,,,58afed7177570e7a
-71.1057839,42.0740405,,,,,,,,,f2dc21c9031dd1fe
-71.1057334,42.0743691,,,,,,,,,d0af8b4ea4be3343
-71.1053367,42.0739686,,,,,,,,,9b760ebcd3e415c5
-71.104985,42.0591209,,,,,,,,,ac0ba859939d66ed
-71.0998195,42.0645947,,,,,,,,,d1110e3a2aed34b6
-71.0997678,42.0649054,,,,,,,,,7ed04f7583c3dfae
-71.099577,42.0645845,,,,,,,,,415970ff80c516fc
-71.0995617,42.0648862,,,,,,,,,a4f895dc24df9b42
-71.0993038,42.0644701,,,,,,,,,1218df5c37a6d1fa
-71.0995073,42.0651703,,,,,,,,,e9523c65aedbf51c
-71.0989563,42.0644987,,,,,,,,,b727d0c658830f0c
-71.0987701,42.0645311,,,,,,,,,bd7c1331b71cb40b
-71.0991749,42.0648709,,,,,,,,,b2fdf3108fb0286e
-71.0969892,42.0637513,,,,,,,,,6d2383a59e1281d2
-71.0980602,42.0624017,,,,,,,,,8d1243a6d0cd2f43
-71.0978742,42.06246,,,,,,,,,d20a719e7bff6ba4
-71.0974036,42.0625393,,,,,,,,,3fef1dec3b7d92cb
-71.0971767,42.0625827,,,,,,,,,c7676e599814e270
-71.0970301,42.0629433,,,,,,,,,acb80f65fefdd1c4
-71.0969272,42.0626053,,,,,,,,,1fe159d9157d66d8
-71.0975139,42.0628591,,,,,,,,,2a3d7618f854a9eb
-71.0979208,42.0627797,,,,,,,,,ade3c3a16d98a839
-71.0976333,42.0624904,,,,,,,,,5f90ef4a9c45ce45
-71.1009508,42.064811,,,,,,,,,881b1347ceb8da0e
-71.1007225,42.0650636,,,,,,,,,3740225f7df3683d
-71.1009557,42.0650593,,,,,,,,,c70408cb11930d1b
-71.1011841,42.0647939,,,,,,,,,65621863f9668218
-71.1010975,42.0650457,,,,,,,,,420c43cdc474fc07
-71.1046736,42.0698402,,,,,,,,,c11f7d0bf618c01f
-71.1043638,42.0697608,,,,,,,,,1f09ac0eeef73ee0
-71.1040061,42.0698244,,,,,,,,,51b5461f95d0b58e
-71.1030935,42.0699933,,,,,,,,,1daf6d0cd6ebc794
-71.102654,42.069998,,,,,,,,,007d48c9a950f4b8
-71.1024761,42.0660142,,,,,,,,,82654c9570ea3c5c
-71.1023642,42.0663225,,,,,,,,,0271a00ddd5d3873
-71.1020996,42.0663147,,,,,,,,,6bc4fe27ead9e505
-71.1015624,42.0662485,,,,,,,,,a816dabeaece6eaa
-71.1014359,42.0660992,,,,,,,,,6af5a562727d95f8
-71.1019289,42.0614942,,,,,,,,,7e3a0f5773b6af0a
-71.1015633,42.061542,,,,,,,,,84684173bb3cb730
-71.100752,42.0612357,,,,,,,,,785174a667a5916e
-71.1008474,42.0619279,,,,,,,,,d8c4ae980aa757ee
-71.1003922,42.0620791,,,,,,,,,008faf471b77e973
-71.1004564,42.0623824,,,,,,,,,5975afcce62247ca
-71.1008863,42.0621343,,,,,,,,,51ce1ce4dfb8de6d
-71.0975437,42.0657626,,,,,,,,,1ea3f19011442e2f
-71.1034065,42.0752581,,,,,,,,,d4b991d56ac29083
-71.1035664,42.075547,,,,,,,,,f5d1707ad07aa180
-71.0974308,42.0620907,,,,,,,,,0b0cd47fc6061a85
-71.0970872,42.0621574,,,,,,,,,472c2f1d6ac3e0ca
-71.0968551,42.061807,,,,,,,,,08b55f976518e445
-71.0978445,42.0620138,,,,,,,,,f1dbb01b2336b275
-71.0968559,42.0621774,,,,,,,,,1eb882025dd0a981
-71.0965579,42.0622143,,,,,,,,,9ad2db8d8dc122f4
-71.0985348,42.0616509,,,,,,,,,70d30ebd9df98119
-71.0975856,42.0617214,,,,,,,,,5f4708b1c6ac0484
-71.0965937,42.0610056,,,,,,,,,076c47cc3ee74d27
-71.0975095,42.0614629,,,,,,,,,6f34af7a7bb4cb3e
-71.0971298,42.0609337,,,,,,,,,2500134c8ba753b7
-71.100453,42.0662331,,,,,,,,,797e961ada9e43f1
-71.1008007,42.0664295,,,,,,,,,437fc3af10822958
-71.100934,42.066314,,,,,,,,,1016266aff32696d
-71.1003028,42.0665743,,,,,,,,,3344498d334d08b5
-71.1008111,42.0665883,,,,,,,,,70ed3d6dee14b40e
-71.1000945,42.0666939,,,,,,,,,fb6fe9fe2f18db1b
-71.1008187,42.0667645,,,,,,,,,358030c3e9fbfad4
-71.1059246,42.0718122,,,,,,,,,95d058874162767e
-71.1062518,42.071849,,,,,,,,,9964dffef2a42729
-71.1062643,42.0720255,,,,,,,,,e5db0afceef2501f
-71.1069007,42.0724173,,,,,,,,,77168f45b4d96834
-71.1069536,42.0726586,,,,,,,,,9242fc9d417e3ea0
-71.1072787,42.0727013,,,,,,,,,d5c395e35e716f3a
-71.1074992,42.0726909,,,,,,,,,69507089583df9a2
-71.1070807,42.072968,,,,,,,,,124f51a7e6b246e1
-71.1066519,42.0731404,,,,,,,,,9cca9cc31c5d19fe
-71.097133,42.0664137,,,,,,,,,50a059381e43ed10
-71.0975864,42.0663987,,,,,,,,,8c595bab47f544fc
-71.0976486,42.0665555,,,,,,,,,c35831b2be7b9de5
-71.0970071,42.0666856,,,,,,,,,98eeaea5d880e60f
-71.097821,42.0667288,,,,,,,,,e7341b74080303c4
-71.0977947,42.0670968,,,,,,,,,acea3a8460d5b829
-71.0980584,42.0679987,,,,,,,,,4d796c411dc8c851
-71.0978854,42.0682608,,,,,,,,,4522e0acf0336cb2
-71.0994815,42.0633642,,,,,,,,,8c2ed760dff2700b
-71.0994049,42.0630263,,,,,,,,,2dacefe808c9e998
-71.0991789,42.0630738,,,,,,,,,f5bfd287eb15ab2d
-71.0992378,42.0634275,,,,,,,,,d9d4cb59b8c24131
-71.0989604,42.0630266,,,,,,,,,97f668c1e13e3166
-71.0990102,42.0634628,,,,,,,,,43dcac725f395e7b
-71.0987117,42.0631538,,,,,,,,,a4946c20824bc1de
-71.098778,42.063494,,,,,,,,,d1a85d743cf71b4d
-71.0984898,42.0631927,,,,,,,,,0abd5a8b584e4986
-71.0968283,42.065501,,,,,,,,,78943a2c4030c1da
-71.0964301,42.0654749,,,,,,,,,960761e24c7e2b0f
-71.0968303,42.0653488,,,,,,,,,d4a6b405bfe52fb3
-71.0968409,42.0651868,,,,,,,,,cb06b9a578fc4dce
-71.0964441,42.0651477,,,,,,,,,df5c3dd19dc624f8
-71.096803,42.0648924,,,,,,,,,ba86759e682f89c8
-71.0961102,42.0644733,,,,,,,,,bfb5470322f9fece
-71.0963748,42.0642136,,,,,,,,,eccd6f3f55c289b7
-71.096803,42.0641306,,,,,,,,,318330173c519f3f
-71.1000454,42.0590161,,,,,,,,,238a5614250fd7b3
-71.1000232,42.0589079,,,,,,,,,97c48bd26cb9dddb
-71.0995235,42.0589014,,,,,,,,,cee264bf6f169fb0
-71.0998377,42.0583847,,,,,,,,,7cf4e334a6debbb5
-71.0992734,42.0580227,,,,,,,,,7748fc46a78fcbe7
-71.0996687,42.0578639,,,,,,,,,b044c255760ce6b8
-71.0998482,42.060138,,,,,,,,,942231e79c8eb729
-71.0993319,42.0584478,,,,,,,,,a86e9599fa79341d
-71.0996912,42.059443,,,,,,,,,907315b36965e3a2
-71.1000039,42.0604462,,,,,,,,,1e24aa473eadd56b
-71.0999437,42.0585629,,,,,,,,,658c53e0316a9bf6
-71.1005505,42.0606088,,,,,,,,,6469e8bb2e9b19f1
-71.0995853,42.0590364,,,,,,,,,7b2fe3bf86630f46
-71.1001616,42.0593463,,,,,,,,,167ac02e79ad7115
-71.0990859,42.0578192,,,,,,,,,8d2afc80038325b6
-71.1050828,42.0653315,,,,,,,,,7c8520c4f08dfd11
-71.1045561,42.064749,,,,,,,,,933735a9d24ac260
-71.1049335,42.0644299,,,,,,,,,9fba94cd169123ed
-71.1049222,42.064029,,,,,,,,,4a231279fb471df0
-71.1047883,42.063879,,,,,,,,,1f44a4e3d324679b
-71.1044268,42.0637115,,,,,,,,,42e6dddd1574a5da
-71.1044228,42.0638561,,,,,,,,,80486c0d3552522a
-71.1047999,42.0635934,,,,,,,,,0eba0a48a7af7506
-71.1047813,42.0637293,,,,,,,,,9aa0d4fb0452b8c8
-71.1049185,42.0642343,,,,,,,,,1820b7f36079c50f
-71.1005203,42.0650792,,,,,,,,,306dc030a6dfc1b7
-71.1005447,42.0648832,,,,,,,,,17acfee72c5d74b5
-71.1006826,42.0645643,,,,,,,,,4948144405bdb0a1
-71.1000695,42.0645863,,,,,,,,,f78dff922089f357
-71.1087804,42.0723462,,,,,,,,,f79b80380bdfbd14
-71.1090292,42.072445,,,,,,,,,cf0ac88162931d63
-71.1091766,42.0725012,,,,,,,,,635fcf9851e5a2d0
-71.1094305,42.0726867,,,,,,,,,22e7a82612e6449e
-71.1100228,42.0725644,,,,,,,,,124d90c2c936bcc3
-71.1104135,42.0729457,,,,,,,,,00c187345f04486f
-71.1105739,42.0731699,,,,,,,,,9c347c7576647b94
-71.1145547,42.0748577,,,,,,,,,d76ffc9ab1a1492a
